Season,Round,Date,GrandPrix,Circuit,OfficialName,Type,Laps,Distance,CircuitLength
2006,13,2006-08-06,Hungary,Hungaroring,Formula 1 Magyar Nagydij 2006,Race,70,306.663,4.381
2006,14,2006-08-27,Turkey,Istanbul,2006 Formula 1 Petrol Ofisi Turkish Grand Prix,Race,58,309.396,5.338
2006,15,2006-09-10,Italy,Monza,Formula 1 Gran Premio Vodafone d'Italia 2006,Race,53,306.72,5.793
2006,16,2006-10-01,China,Shanghai,2006 Formula 1 Sinopec Chinese Grand Prix,Race,56,305.066,5.451
2006,17,2006-10-08,Japan,Suzuka,2006 Formula 1 Fuji Television Japanese Grand Prix,Race,53,307.573,5.807
2006,18,2006-10-22,Brazil,Interlagos,Formula 1 Grande Premio do Brasil 2006,Race,71,305.909,4.309
2007,1,2007-03-18,Australia,Melbourne,2007 Formula 1 ING Australian Grand Prix,Street,58,307.574,5.303
2007,2,2007-04-08,Malaysia,Sepang,2007 Formula 1 Petronas Malaysian Grand Prix,Race,56,310.408,5.543
2007,3,2007-04-15,Bahrain,Bahrain,2007 Formula 1 Gulf Air Bahrain Grand Prix,Race,57,308.238,5.412
2007,4,2007-05-13,Spain,Catalunya,Formula 1 Gran Premio de Espana Telefonica 2007,Race,65,302.449,4.655
2007,5,2007-05-27,Monaco,Monaco,Formula 1 Grand Prix de Monaco 2007,Street,78,260.52,3.34
2007,6,2007-06-10,Canada,Montreal,Formula 1 Grand Prix du Canada 2007,Street,70,305.27,4.361
2007,7,2007-06-17,United States,Indianapolis,2007 RBS United States Grand Prix,Race,73,306.016,4.192
2007,8,2007-07-01,France,Magny-Cours,Formula 1 Grand Prix de France 2007,Race,70,308.586,4.411
2007,9,2007-07-08,Great Britain,Silverstone,2007 Formula 1 Santander British Grand Prix,Race,59,303.216,5.141
2007,10,2007-07-22,Europe,Nurburgring,2007 Formula 1 Grand Prix of Europe,Race,60,308.88,5.148
2007,11,2007-08-05,Hungary,Hungaroring,Formula 1 Magyar Nagydij 2007,Race,70,306.663,4.381
2007,12,2007-08-26,Turkey,Istanbul,2007 Formula 1 Petrol Ofisi Turkish Grand Prix,Race,58,309.396,5.338
2007,13,2007-09-09,Italy,Monza,Formula 1 Gran Premio d'Italia 2007,Race,53,306.72,5.793
2007,14,2007-09-16,Belgium,Spa-Francorchamps,2007 Formula 1 ING Belgian Grand Prix,Race,44,308.052,7.004
2007,15,2007-09-30,Japan,Fuji,2007 Formula 1 Fuji Television Japanese Grand Prix,Race,67,305.721,4.563
2007,16,2007-10-07,China,Shanghai,2007 Formula 1 Sinopec Chinese Grand Prix,Race,56,305.066,5.451
2007,17,2007-10-21,Brazil,Interlagos,Formula 1 Grande Premio do Brasil 2007,Race,71,305.909,4.309
2008,1,2008-03-16,Australia,Melbourne,2008 Formula 1 ING Australian Grand Prix,Street,58,307.574,5.303
2008,2,2008-03-23,Malaysia,Sepang,2008 Formula 1 Petronas Malaysian Grand Prix,Race,56,310.408,5.543
2008,3,2008-04-06,Bahrain,Bahrain,2008 Formula 1 Gulf Air Bahrain Grand Prix,Race,57,308.238,5.412
2008,4,2008-04-27,Spain,Catalunya,Formula 1 Gran Premio de Espana Telefonica 2008,Race,66,307.104,4.655
2008,5,2008-05-11,Turkey,Istanbul,2008 Formula 1 Petrol Ofisi Turkish Grand Prix,Race,58,309.396,5.338
2008,6,2008-05-25,Monaco,Monaco,Formula 1 Grand Prix de Monaco 2008,Street,76,253.84,3.34
2008,7,2008-06-08,Canada,Montreal,Formula 1 Grand Prix du Canada 2008,Street,70,305.27,4.361
2008,8,2008-06-22,France,Magny-Cours,Formula 1 Grand Prix de France 2008,Race,70,308.586,4.411
2008,9,2008-07-06,Great Britain,Silverstone,2008 Formula 1 Santander British Grand Prix,Race,60,308.355,5.141
2008,10,2008-07-20,Germany,Hockenheimring,Formula 1 Grosser Preis Santander von Deutschland 2008,Race,67,306.458,4.574
2008,11,2008-08-03,Hungary,Hungaroring,Formula 1 ING Magyar Nagydij 2008,Race,70,306.63,4.381
2008,12,2008-08-24,Europe,Valencia,2008 Formula 1 Telefonica Grand Prix of Europe,Street,57,308.883,5.419
2008,13,2008-09-07,Belgium,Spa-Francorchamps,2008 Formula 1 ING Belgian Grand Prix,Race,44,308.052,7.004
2008,14,2008-09-14,Italy,Monza,Formula 1 Gran Premio Santander d'Italia 2008,Race,53,306.72,5.793
2008,15,2008-09-28,Singapore,Marina Bay,2008 Formula 1 SingTel Singapore Grand Prix,Street,61,309.316,5.073
2008,16,2008-10-12,Japan,Fuji,2008 Formula 1 Fuji Television Japanese Grand Prix,Race,67,305.721,4.563
2008,17,2008-10-19,China,Shanghai,2008 Formula 1 Sinopec Chinese Grand Prix,Race,56,305.066,5.451
