Season,Round,Date,GrandPrix,Circuit,OfficialName,Type,Laps,Distance,CircuitLength
2021,2,2021-04-18,Emilia-Romagna,Imola,Formula 1 Pirelli Gran Premio del Made in Italy e dell'Emilia Romagna 2021,Race,63,309.05,4.909
2021,3,2021-05-02,Portugal,Portimao,Formula 1 Heineken Grande Premio de Portugal 2021,Race,66,308.877,4.684
2021,4,2021-05-09,Spain,Catalunya,Formula 1 Aramco Gran Premio de Espana 2021,Race,66,307.104,4.655
2021,5,2021-05-23,Monaco,Monaco,Formula 1 Grand Prix de Monaco 2021,Street,78,260.286,3.337
2021,6,2021-06-06,Azerbaijan,Baku,Formula 1 Azerbaijan Grand Prix 2021,Street,51,306.049,6.003
2021,7,2021-06-20,France,Paul Ricard,Formula 1 Emirates Grand Prix de France 2021,Race,53,309.69,5.842
2021,8,2021-06-27,Styria,Spielberg,Formula 1 BWT Grosser Preis der Steiermark 2021,Race,71,306.452,4.318
2021,9,2021-07-04,Austria,Spielberg,Formula 1 BWT Grosser Preis von Osterreich 2021,Race,71,306.452,4.318
2021,10,2021-07-18,Great Britain,Silverstone,Formula 1 Pirelli British Grand Prix 2021,Race,52,306.198,5.891
2021,11,2021-08-01,Hungary,Hungaroring,Formula 1 Rolex Magyar Nagydij 2021,Race,70,306.63,4.381
2021,12,2021-08-29,Belgium,Spa-Francorchamps,Formula 1 Rolex Belgian Grand Prix 2021,Race,1,6.88,7.004
2021,13,2021-09-05,Netherlands,Zandvoort,Formula 1 Heineken Dutch Grand Prix 2021,Race,72,306.648,4.259
2021,14,2021-09-12,Italy,Monza,Formula 1 Heineken Gran Premio d'Italia 2021,Race,53,306.72,5.793
2021,15,2021-09-26,Russia,Sochi,Formula 1 VTB Russian Grand Prix 2021,Road,53,309.745,5.848
2021,16,2021-10-03,Turkey,Istanbul,Formula 1 Rolex Turkish Grand Prix 2021,Race,58,309.396,5.338
2021,17,2021-10-24,United States,Austin,Formula 1 Aramco United States Grand Prix 2021,Race,56,308.405,5.513
2021,18,2021-11-07,Mexico,Mexico City,Formula 1 Gran Premio de la Ciudad de Mexico 2021,Race,71,305.354,4.304
2021,19,2021-11-14,Sao Paulo,Interlagos,Formula 1 Heineken Grande Premio de Sao Paulo 2021,Race,71,305.909,4.309
2021,20,2021-11-21,Qatar,Losail,Formula 1 Ooredoo Qatar Grand Prix 2021,Race,57,306.669,5.38
2021,21,2021-12-05,Saudi Arabia,Jeddah,Formula 1 stc Saudi Arabian Grand Prix 2021,Street,50,308.45,6.174
2021,22,2021-12-12,Abu Dhabi,Yas Marina,Formula 1 Etihad Airways Abu Dhabi Grand Prix 2021,Race,58,306.183,5.281
2022,1,2022-03-20,Bahrain,Bahrain,Formula 1 Gulf Air Bahrain Grand Prix 2022,Race,57,308.238,5.412
2022,2,2022-03-27,Saudi Arabia,Jeddah,Formula 1 stc Saudi Arabian Grand Prix 2022,Street,50,308.45,6.174
2022,3,2022-04-10,Australia,Melbourne,Formula 1 Heineken Australian Grand Prix 2022,Street,58,307.574,5.303
2022,4,2022-04-24,Emilia-Romagna,Imola,Formula 1 Rolex Gran Premio dell'Emilia Romagna 2022,Race,63,309.049,4.909
2022,5,2022-05-08,Miami,Miami,Formula 1 Crypto.com Miami Grand Prix 2022,Street,57,308.37,5.41
2022,6,2022-05-22,Spain,Catalunya,Formula 1 Pirelli Gran Premio de Espana 2022,Race,66,308.424,4.675
2022,7,2022-05-29,Monaco,Monaco,Formula 1 Grand Prix de Monaco 2022,Street,64,213.568,3.337
2022,8,2022-06-12,Azerbaijan,Baku,Formula 1 Azerbaijan Grand Prix 2022,Street,51,306.049,6.003
2022,9,2022-06-19,Canada,Montreal,Formula 1 Grand Prix du Canada 2022,Street,70,305.27,4.361
2022,10,2022-07-03,Great Britain,Silverstone,Formula 1 Lenovo British Grand Prix 2022,Race,52,306.198,5.891
2022,11,2022-07-10,Austria,Spielberg,Formula 1 Grosser Preis von Osterreich 2022,Race,71,306.452,4.318
2022,12,2022-07-24,France,Paul Ricard,Formula 1 Lenovo Grand Prix de France 2022,Race,53,309.69,5.842
2022,13,2022-07-31,Hungary,Hungaroring,Formula 1 Aramco Magyar Nagydij 2022,Race,70,306.63,4.381
2022,14,2022-08-28,Belgium,Spa-Francorchamps,Formula 1 Rolex Belgian Grand Prix 2022,Race,44,308.052,7.004
2022,15,2022-09-04,Netherlands,Zandvoort,Formula 1 Heineken Dutch Grand Prix 2022,Race,72,306.587,4.259
2022,16,2022-09-11,Italy,Monza,Formula 1 Pirelli Gran Premio d'Italia 2022,Race,53,306.72,5.793
2022,17,2022-10-02,Singapore,Marina Bay,Formula 1 Singapore Airlines Singapore Grand Prix 2022,Street,59,298.58,5.063
2022,18,2022-10-09,Japan,Suzuka,Formula 1 Honda Japanese Grand Prix 2022,Race,28,162.296,5.807
2022,19,2022-10-23,United States,Austin,Formula 1 Aramco United States Grand Prix 2022,Race,56,308.405,5.513
2022,20,2022-10-30,Mexico,Mexico City,Formula 1 Heineken Gran Premio de la Ciudad de Mexico 2022,Race,71,305.354,4.304
2022,21,2022-11-13,Sao Paulo,Interlagos,Formula 1 Heineken Grande Premio de Sao Paulo 2022,Race,71,305.879,4.309
2022,22,2022-11-20,Abu Dhabi,Yas Marina,Formula 1 Etihad Airways Abu Dhabi Grand Prix 2022,Race,58,306.183,5.281
2023,1,2023-03-05,Bahrain,Bahrain,Formula 1 Gulf Air Bahrain Grand Prix 2023,Race,57,308.238,5.412
2023,2,2023-03-19,Saudi Arabia,Jeddah,Formula 1 stc Saudi Arabian Grand Prix 2023,Street,50,308.45,6.174
2023,3,2023-04-02,Australia,Melbourne,Formula 1 Rolex Australian Grand Prix 2023,Street,58,307.574,5.303
2023,4,2023-04-30,Azerbaijan,Baku,Formula 1 Azerbaijan Grand Prix 2023,Street,51,306.049,6.003
2023,5,2023-05-07,Miami,Miami,Formula 1 Crypto.com Miami Grand Prix 2023,Street,57,308.37,5.41
2023,6,2023-05-28,Monaco,Monaco,Formula 1 Grand Prix de Monaco 2023,Street,78,260.286,3.337
2023,7,2023-06-04,Spain,Catalunya,Formula 1 AWS Gran Premio de Espana 2023,Race,66,308.424,4.675
2023,8,2023-06-18,Canada,Montreal,Formula 1 Pirelli Grand Prix du Canada 2023,Street,70,305.27,4.361
2023,9,2023-07-02,Austria,Spielberg,Formula 1 Rolex Grosser Preis von Osterreich 2023,Race,71,306.452,4.318
2023,10,2023-07-09,Great Britain,Silverstone,Formula 1 Aramco British Grand Prix 2023,Race,52,306.198,5.891
2023,11,2023-07-23,Hungary,Hungaroring,Formula 1 Qatar Airways Hungarian Grand Prix 2023,Race,70,306.63,4.381
2023,12,2023-07-30,Belgium,Spa-Francorchamps,Formula 1 MSC Cruises Belgian Grand Prix 2023,Race,44,308.052,7.004
2023,13,2023-08-27,Netherlands,Zandvoort,Formula 1 Heineken Dutch Grand Prix 2023,Race,72,306.587,4.259
2023,14,2023-09-03,Italy,Monza,Formula 1 Pirelli Gran Premio d'Italia 2023,Race,51,295.134,5.793
2023,15,2023-09-17,Singapore,Marina Bay,Formula 1 Singapore Airlines Singapore Grand Prix 2023,Street,62,306.143,4.94
2023,16,2023-09-24,Japan,Suzuka,Formula 1 Lenovo Japanese Grand Prix 2023,Race,53,307.471,5.807
2023,17,2023-10-08,Qatar,Losail,Formula 1 Qatar Airways Qatar Grand Prix 2023,Race,57,306.669,5.38
2023,18,2023-10-22,United States,Austin,Formula 1 Lenovo United States Grand Prix 2023,Race,56,308.405,5.513
2023,19,2023-10-29,Mexico,Mexico City,Formula 1 Gran Premio de la Ciudad de Mexico 2023,Race,71,305.354,4.304
2023,20,2023-11-05,Sao Paulo,Interlagos,Formula 1 Rolex Grande Premio de Sao Paulo 2023,Race,71,305.879,4.309
2023,21,2023-11-18,Las Vegas,Las Vegas,Formula 1 Heineken Silver Las Vegas Grand Prix 2023,Street,50,305.8,6.116
2023,22,2023-11-26,Abu Dhabi,Yas Marina,Formula 1 Etihad Airways Abu Dhabi Grand Prix 2023,Race,58,306.183,5.281
2024,1,2024-03-02,Bahrain,Bahrain,Formula 1 Gulf Air Bahrain Grand Prix 2024,Race,57,308.238,5.412
2024,2,2024-03-09,Saudi Arabia,Jeddah,Formula 1 stc Saudi Arabian Grand Prix 2024,Street,50,308.45,6.174
2024,3,2024-03-24,Australia,Melbourne,Formula 1 Rolex Australian Grand Prix 2024,Street,58,306.124,5.278
2024,4,2024-04-07,Japan,Suzuka,Formula 1 MSC Cruises Japanese Grand Prix 2024,Race,53,307.471,5.807
2024,5,2024-04-21,China,Shanghai,Formula 1 Lenovo Chinese Grand Prix 2024,Race,56,305.066,5.451
2024,6,2024-05-05,Miami,Miami,Formula 1 Crypto.com Miami Grand Prix 2024,Street,57,308.326,5.412
2024,7,2024-05-19,Emilia-Romagna,Imola,Formula 1 MSC Cruises Gran Premio dell'Emilia Romagna 2024,Race,63,309.049,4.909
2024,8,2024-05-26,Monaco,Monaco,Formula 1 Grand Prix de Monaco 2024,Street,78,260.286,3.337
2024,9,2024-06-09,Canada,Montreal,Formula 1 Grand Prix du Canada 2024,Street,70,305.27,4.361
2024,10,2024-06-23,Spain,Catalunya,Formula 1 Aramco Gran Premio de Espana 2024,Race,66,307.236,4.657
2024,11,2024-06-30,Austria,Spielberg,Formula 1 Qatar Airways Austrian Grand Prix 2024,Race,71,306.452,4.318
2024,12,2024-07-07,Great Britain,Silverstone,Formula 1 Qatar Airways British Grand Prix 2024,Race,52,306.198,5.891
2024,13,2024-07-21,Hungary,Hungaroring,Formula 1 Hungarian Grand Prix 2024,Race,70,306.63,4.381
2024,14,2024-07-28,Belgium,Spa-Francorchamps,Formula 1 Rolex Belgian Grand Prix 2024,Race,44,308.052,7.004
2024,15,2024-08-25,Netherlands,Zandvoort,Formula 1 Heineken Dutch Grand Prix 2024,Race,72,306.587,4.259
2024,16,2024-09-01,Italy,Monza,Formula 1 Pirelli Gran Premio d'Italia 2024,Race,53,306.72,5.793
2024,17,2024-09-15,Azerbaijan,Baku,Formula 1 Qatar Airways Azerbaijan Grand Prix 2024,Street,51,306.049,6.003
2024,18,2024-09-22,Singapore,Marina Bay,Formula 1 Singapore Airlines Singapore Grand Prix 2024,Street,62,306.143,4.94
2024,19,2024-10-20,United States,Austin,Formula 1 Pirelli United States Grand Prix 2024,Race,56,308.405,5.513
2024,20,2024-10-27,Mexico,Mexico City,Formula 1 Gran Premio de la Ciudad de Mexico 2024,Race,71,305.354,4.304
2024,21,2024-11-03,Sao Paulo,Interlagos,Formula 1 Lenovo Grande Premio de Sao Paulo 2024,Race,69,297.261,4.309
2024,22,2024-11-24,Las Vegas,Las Vegas,Formula 1 Heineken Silver Las Vegas Grand Prix 2024,Street,50,309.958,6.201
2024,23,2024-12-01,Qatar,Losail,Formula 1 Qatar Airways Qatar Grand Prix 2024,Race,57,308.611,5.419
2024,24,2024-12-08,Abu Dhabi,Yas Marina,Formula 1 Etihad Airways Abu Dhabi Grand Prix 2024,Race,58,306.183,5.281
